NO,hospital_name,ykiho,doctor_info,specialties,source_file,num_doctors,num_dentists,num_korean_med,category,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,total_medical_staff,category_en,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,province,city
1,의료법인 은성의료재단 좋은강안병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,"총 인원 : 97명 (의사 : 95, 치과의사 : 2, 한의사 : 0)","내과 (23), 신경과 (2), 정신건강의학과 (1), 외과 (8), 정형외과 (3), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (5), 산부인과 (3), 소아청소년과 (2), 안과 (4), 이비인후과 (3), 비뇨의학과 (1), 영상의학과 (12), 방사선종양학과 (2), 병리과 (1), 진단검사의학과 (2), 재활의학과 (1), 핵의학과 (1), 가정의학과 (3), 응급의학과 (6), 직업환경의학과 (1), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,95,2,0,종합병원,12,23,0,5,1,1,0,8,6,0,3,4,3,1,0,2,1,2,0,0,0,2,0,3,0,1,0,0,0,0,0,4,0,1,0,1,0,2,0,0,3,1,97,general_hospital,12,23,0,5,1,1,0,8,6,0,3,4,3,1,0,2,1,2,0,0,0,2,0,3,0,1,0,0,0,0,0,4,0,1,0,1,0,2,0,0,3,1,12,23,0,5,1,1,0,8,6,0,3,4,3,1,0,2,1,2,0,0,0,2,0,3,0,1,0,0,0,0,0,4,0,1,0,1,0,2,0,0,3,1,부산광역시,수영구
2,비에이치에스한서병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,"총 인원 : 59명 (의사 : 58, 치과의사 : 1, 한의사 : 0)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (3), 신경외과 (1), 심장혈관흉부외과 (2), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (2), 영상의학과 (3), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (6), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,58,1,0,종합병원,3,15,0,1,1,0,0,3,6,0,2,0,3,1,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,59,general_hospital,3,15,0,1,1,0,0,3,6,0,2,0,3,1,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,3,15,0,1,1,0,0,3,6,0,2,0,3,1,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,1,부산광역시,수영구
3,의료법인 센텀의료재단 센텀종합병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,"총 인원 : 62명 (의사 : 61, 치과의사 : 1, 한의사 : 0)","내과 (10), 신경과 (1), 정신건강의학과 (1), 외과 (6), 정형외과 (11), 신경외과 (3), 성형외과 (1), 마취통증의학과 (5), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (2), 영상의학과 (8), 진단검사의학과 (1), 재활의학과 (1), 핵의학과 (1), 응급의학과 (3), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,61,1,0,종합병원,8,10,0,5,1,0,0,6,3,0,0,0,11,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,1,0,1,0,0,1,0,62,general_hospital,8,10,0,5,1,0,0,6,3,0,0,0,11,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,1,0,1,0,0,1,0,8,10,0,5,1,0,0,6,3,0,0,0,11,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,1,0,1,0,1,0,0,1,0,부산광역시,수영구
4,학교법인)동의병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,"총 인원 : 70명 (의사 : 70, 치과의사 : 0, 한의사 : 0)","내과 (18), 신경과 (4), 정신건강의학과 (1), 외과 (2), 정형외과 (5), 신경외과 (3), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 이비인후과 (2), 비뇨의학과 (2), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (3), 가정의학과 (3), 응급의학과 (4)",hco_info_종합병원_20250518_2200.csv,70,0,0,종합병원,4,18,0,2,3,0,0,2,4,0,3,0,5,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,1,70,general_hospital,4,18,0,2,3,0,0,2,4,0,3,0,5,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,1,4,18,0,2,3,0,0,2,4,0,3,0,5,1,0,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,1,부산광역시,부산진구
5,의료법인 인당의료재단 해운대부민병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 60명 (의사 : 60, 치과의사 : 0, 한의사 : 0)","내과 (17), 신경과 (2), 정신건강의학과 (1), 외과 (4), 정형외과 (8), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (5), 산부인과 (2), 소아청소년과 (2), 비뇨의학과 (1), 영상의학과 (5), 진단검사의학과 (1), 가정의학과 (1), 응급의학과 (2)",hco_info_종합병원_20250518_2200.csv,60,0,0,종합병원,5,17,0,5,0,0,0,4,2,0,1,0,8,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,60,general_hospital,5,17,0,5,0,0,0,4,2,0,1,0,8,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,5,17,0,5,0,0,0,4,2,0,1,0,8,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,부산광역시,해운대구
6,부산성모병원(재단법인 천주교부산교구유지재단),JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz,"총 인원 : 78명 (의사 : 76, 치과의사 : 2, 한의사 : 0)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (4), 신경외과 (2), 마취통증의학과 (3), 산부인과 (2), 소아청소년과 (6), 안과 (2), 이비인후과 (4), 비뇨의학과 (2), 영상의학과 (5), 병리과 (2), 진단검사의학과 (2), 재활의학과 (1), 가정의학과 (2), 응급의학과 (6), 구강악안면외과 (1), 치과보존과 (1)",hco_info_종합병원_20250518_2200.csv,76,2,0,종합병원,5,15,0,3,1,0,1,3,6,0,2,2,4,1,0,6,0,2,0,0,0,0,0,4,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,78,general_hospital,5,15,0,3,1,0,1,3,6,0,2,2,4,1,0,6,0,2,0,0,0,0,0,4,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,5,15,0,3,1,0,1,3,6,0,2,2,4,1,0,6,0,2,0,0,0,0,0,4,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,부산광역시,남구
7,학교법인 춘해병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,"총 인원 : 25명 (의사 : 25, 치과의사 : 0, 한의사 : 0)","내과 (5), 신경과 (1), 외과 (4), 정형외과 (4), 신경외과 (1), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (1), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,25,0,0,종합병원,1,5,0,1,0,0,0,4,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,25,general_hospital,1,5,0,1,0,0,0,4,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,5,0,1,0,0,0,4,0,0,1,0,4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,부산광역시,부산진구
8,좋은문화병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,"총 인원 : 79명 (의사 : 78, 치과의사 : 1, 한의사 : 0)","내과 (13), 신경과 (1), 외과 (8), 정형외과 (1), 신경외과 (2), 성형외과 (2), 마취통증의학과 (7), 산부인과 (18), 소아청소년과 (8), 이비인후과 (1), 피부과 (1), 비뇨의학과 (1), 영상의학과 (8), 병리과 (1), 진단검사의학과 (1), 가정의학과 (1), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,78,1,0,종합병원,8,13,0,7,0,0,0,8,0,0,1,0,1,0,0,8,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,18,1,79,general_hospital,8,13,0,7,0,0,0,8,0,0,1,0,1,0,0,8,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,18,1,8,13,0,7,0,0,0,8,0,0,1,0,1,0,0,8,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,18,1,부산광역시,동구
9,동래봉생병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,"총 인원 : 44명 (의사 : 44, 치과의사 : 0, 한의사 : 0)","내과 (11), 신경과 (4), 정신건강의학과 (1), 외과 (3), 정형외과 (2), 신경외과 (6), 마취통증의학과 (2), 소아청소년과 (1), 이비인후과 (2), 비뇨의학과 (1), 영상의학과 (3), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (1), 응급의학과 (3)",hco_info_종합병원_20250518_2200.csv,44,0,0,종합병원,3,11,0,2,1,0,0,3,3,0,1,0,2,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,44,general_hospital,3,11,0,2,1,0,0,3,3,0,1,0,2,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,3,11,0,2,1,0,0,3,3,0,1,0,2,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,부산광역시,동래구
10,재단법인일신기독교선교회 일신기독병원,JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,"총 인원 : 32명 (의사 : 32, 치과의사 : 0, 한의사 : 0)","내과 (5), 신경과 (1), 외과 (2), 정형외과 (2), 마취통증의학과 (1), 산부인과 (7), 소아청소년과 (9), 영상의학과 (2), 병리과 (1), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,32,0,0,종합병원,2,5,0,1,0,0,0,2,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,32,general_hospital,2,5,0,1,0,0,0,2,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,2,5,0,1,0,0,0,2,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,부산광역시,동구
