index,name,onclick,ykiho,doctor_info,specialties,special_fields
1,의료법인 은성의료재단 좋은강안병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz"",1);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,"총 인원 : 97명 (의사 : 95, 치과의사 : 2, 한의사 : 0)","내과 (23), 신경과 (2), 정신건강의학과 (1), 외과 (8), 정형외과 (3), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (5), 산부인과 (3), 소아청소년과 (2), 안과 (4), 이비인후과 (3), 비뇨의학과 (1), 영상의학과 (12), 방사선종양학과 (2), 병리과 (1), 진단검사의학과 (2), 재활의학과 (1), 핵의학과 (1), 가정의학과 (3), 응급의학과 (6), 직업환경의학과 (1), 통합치의학과 (1)","내과 (23), 신경과 (2), 정신건강의학과 (1), 외과 (8), 정형외과 (3), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (5), 산부인과 (3), 소아청소년과 (2), 안과 (4), 이비인후과 (3), 비뇨의학과 (1), 영상의학과 (12), 방사선종양학과 (2), 병리과 (1), 진단검사의학과 (2), 재활의학과 (1), 핵의학과 (1), 가정의학과 (3), 응급의학과 (6), 직업환경의학과 (1), 구강악안면외과 (0), 치과보존과 (0)"
2,비에이치에스한서병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz"",2);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,"총 인원 : 59명 (의사 : 58, 치과의사 : 1, 한의사 : 0)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (3), 신경외과 (1), 심장혈관흉부외과 (2), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (2), 영상의학과 (3), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (6), 통합치의학과 (1)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (3), 신경외과 (1), 심장혈관흉부외과 (2), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (2), 영상의학과 (3), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (6), 통합치의학과 (1)"
3,의료법인 센텀의료재단 센텀종합병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz"",3);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,"총 인원 : 62명 (의사 : 61, 치과의사 : 1, 한의사 : 0)","내과 (10), 신경과 (1), 정신건강의학과 (1), 외과 (6), 정형외과 (11), 신경외과 (3), 성형외과 (1), 마취통증의학과 (5), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (2), 영상의학과 (8), 진단검사의학과 (1), 재활의학과 (1), 핵의학과 (1), 응급의학과 (3), 통합치의학과 (1)","내과 (10), 신경과 (1), 정신건강의학과 (1), 외과 (6), 정형외과 (11), 신경외과 (3), 심장혈관흉부외과 (0), 성형외과 (1), 마취통증의학과 (5), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (2), 영상의학과 (8), 진단검사의학과 (1), 재활의학과 (1), 핵의학과 (1), 가정의학과 (0), 응급의학과 (3), 직업환경의학과 (0), 예방의학과 (0), 통합치의학과 (1)"
4,학교법인)동의병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz"",4);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,"총 인원 : 70명 (의사 : 70, 치과의사 : 0, 한의사 : 0)","내과 (18), 신경과 (4), 정신건강의학과 (1), 외과 (2), 정형외과 (5), 신경외과 (3), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 이비인후과 (2), 비뇨의학과 (2), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (3), 가정의학과 (3), 응급의학과 (4)","내과 (18), 신경과 (4), 정신건강의학과 (1), 외과 (2), 정형외과 (5), 신경외과 (3), 심장혈관흉부외과 (0), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 안과 (0), 이비인후과 (2), 비뇨의학과 (2), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (3), 가정의학과 (3), 응급의학과 (4), 구강악안면외과 (0), 치과보철과 (0), 소아치과 (0), 치주과 (0), 치과보존과 (0), 구강내과 (0), 영상치의학과 (0), 예방치과 (0), 통합치의학과 (0)"
5,의료법인 인당의료재단 해운대부민병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz"",5);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 60명 (의사 : 60, 치과의사 : 0, 한의사 : 0)","내과 (17), 신경과 (2), 정신건강의학과 (1), 외과 (4), 정형외과 (8), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (5), 산부인과 (2), 소아청소년과 (2), 비뇨의학과 (1), 영상의학과 (5), 진단검사의학과 (1), 가정의학과 (1), 응급의학과 (2)","내과 (17), 신경과 (2), 정신건강의학과 (1), 외과 (4), 정형외과 (8), 신경외과 (4), 마취통증의학과 (5), 산부인과 (2), 소아청소년과 (2), 비뇨의학과 (1), 영상의학과 (5), 진단검사의학과 (1), 가정의학과 (1), 응급의학과 (2), 치과보철과 (0), 소아치과 (0), 치주과 (0), 치과보존과 (0)"
6,학교법인 춘해병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz"",6);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEyMjIjODEjJDEjJDIjJDgz,"총 인원 : 25명 (의사 : 25, 치과의사 : 0, 한의사 : 0)","내과 (5), 신경과 (1), 외과 (4), 정형외과 (4), 신경외과 (1), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (1), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 가정의학과 (1)","내과 (5), 신경과 (1), 외과 (4), 정형외과 (4), 신경외과 (1), 마취통증의학과 (1), 산부인과 (2), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 가정의학과 (1)"
7,좋은문화병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz"",7);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNTEjJDEjJDYjJDgz,"총 인원 : 79명 (의사 : 78, 치과의사 : 1, 한의사 : 0)","내과 (13), 신경과 (1), 외과 (8), 정형외과 (1), 신경외과 (2), 성형외과 (2), 마취통증의학과 (7), 산부인과 (18), 소아청소년과 (8), 이비인후과 (1), 피부과 (1), 비뇨의학과 (1), 영상의학과 (8), 병리과 (1), 진단검사의학과 (1), 가정의학과 (1), 통합치의학과 (1)","내과 (13), 신경과 (1), 정신건강의학과 (0), 외과 (8), 정형외과 (1), 신경외과 (2), 성형외과 (2), 마취통증의학과 (7), 산부인과 (18), 소아청소년과 (8), 이비인후과 (1), 피부과 (1), 비뇨의학과 (1), 영상의학과 (8), 병리과 (1), 진단검사의학과 (1), 가정의학과 (1), 응급의학과 (0), 치과보존과 (0)"
8,부산성모병원(재단법인 천주교부산교구유지재단),"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz"",8);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjNjEjJDEjJDQjJDgz,"총 인원 : 78명 (의사 : 76, 치과의사 : 2, 한의사 : 0)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (4), 신경외과 (2), 마취통증의학과 (3), 산부인과 (2), 소아청소년과 (6), 안과 (2), 이비인후과 (4), 비뇨의학과 (2), 영상의학과 (5), 병리과 (2), 진단검사의학과 (2), 재활의학과 (1), 가정의학과 (2), 응급의학과 (6), 구강악안면외과 (1), 치과보존과 (1)","내과 (15), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (4), 신경외과 (2), 마취통증의학과 (3), 산부인과 (2), 소아청소년과 (6), 안과 (2), 이비인후과 (4), 비뇨의학과 (2), 영상의학과 (5), 병리과 (2), 진단검사의학과 (2), 재활의학과 (1), 핵의학과 (0), 가정의학과 (2), 응급의학과 (6), 구강악안면외과 (1), 치과보철과 (0), 소아치과 (0), 치주과 (0), 치과보존과 (1), 구강내과 (0), 영상치의학과 (0)"
9,동래봉생병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz"",9);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjODEjJDEjJDYjJDgz,"총 인원 : 44명 (의사 : 44, 치과의사 : 0, 한의사 : 0)","내과 (11), 신경과 (4), 정신건강의학과 (1), 외과 (3), 정형외과 (2), 신경외과 (6), 마취통증의학과 (2), 소아청소년과 (1), 이비인후과 (2), 비뇨의학과 (1), 영상의학과 (3), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (1), 응급의학과 (3)","내과 (11), 신경과 (4), 정신건강의학과 (1), 외과 (3), 정형외과 (2), 신경외과 (6), 마취통증의학과 (2), 소아청소년과 (1), 이비인후과 (2), 비뇨의학과 (1), 영상의학과 (3), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (1), 응급의학과 (3)"
10,재단법인일신기독교선교회 일신기독병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz"",10);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,"총 인원 : 32명 (의사 : 32, 치과의사 : 0, 한의사 : 0)","내과 (5), 신경과 (1), 외과 (2), 정형외과 (2), 마취통증의학과 (1), 산부인과 (7), 소아청소년과 (9), 영상의학과 (2), 병리과 (1), 가정의학과 (1)","내과 (5), 신경과 (1), 외과 (2), 정형외과 (2), 마취통증의학과 (1), 산부인과 (7), 소아청소년과 (9), 영상의학과 (2), 병리과 (1), 진단검사의학과 (0), 가정의학과 (1)"
